subj,n,aic_static,bic_static,aic_online,bic_online,aic_AT,bic_AT,aic_int_free,bic_int_free,aic_int_deriv,bic_int_deriv,aic_adaptive,bic_adaptive
1,8562,77102.22898018289,77165.72478196323,77130.47023384162,77172.80076836185,77069.57579076945,77147.1817707232,76931.29918866622,76980.68481227316,77022.93932607168,77065.2698605919,77133.14719127706,77175.47772579729
2,7877,72528.92640919948,72591.67173079682,72590.00332213784,72631.83353653605,72526.29987548779,72602.98860188453,72240.870468282,72289.67238507992,72739.08380961951,72780.91402401772,72588.03187127924,72629.86208567745
3,9412,83502.66336397931,83567.01103072794,83484.56496468525,83527.46340918433,83476.03928411429,83554.6864323626,83940.56443772627,83990.6126229752,83919.29243203948,83962.19087653856,83482.2085550217,83525.10699952078
4,4801,46185.911156929105,46244.20037250588,46211.1925014041,46250.05197845528,46174.96598637463,46246.20836096847,46236.03846186238,46281.3745184221,46253.9142860689,46292.77376312009,46217.360052227574,46256.21952927876
5,5789,61980.94847506923,62040.921908665936,62799.39793739051,62839.38022645498,61772.91669882462,61846.217562109494,62803.20137156213,62849.84737547068,62734.50933397927,62774.491623043745,62727.51180219593,62767.4940912604
6,7553,75501.64720343794,75564.01450446676,75550.26244592918,75591.84064661506,75360.19482269717,75436.42152395462,75675.16847344665,75723.67637424685,75354.13562024543,75395.71382093131,75542.04316992081,75583.62137060669
7,5797,54310.85552974644,54370.8413921385,54384.99514256245,54424.98571749049,54324.3315087106,54397.64756274534,54473.906467248074,54520.562137997455,54311.89615766547,54351.886732593506,54394.11470159973,54434.10527652776
8,5797,61919.01261437515,61978.99847676721,61891.06692249481,61931.057497422844,61893.03813898118,61966.35419301592,61950.02021343484,61996.67588418422,61980.59326225574,62020.583837183774,61894.78840851331,61934.77898344135
9,8632,84566.26823285256,84629.837316415,84670.79820994867,84713.1775989903,84529.13159900025,84606.82714557656,84664.66512880453,84714.10774935309,84785.54569396314,84827.92508300477,84662.4258921312,84704.80528117283
10,6045,61902.59307496707,61962.95595583451,62111.46428243219,62151.706203010486,61760.75895953576,61834.535813929295,62236.537506841996,62283.48641418334,62000.720712695016,62040.96263327331,62121.64573913357,62161.887659711865
11,6474,62668.47887195827,62729.458816868646,62883.200233211195,62923.85352981811,62622.79787266244,62697.32891644179,62961.24951587479,63008.678361916194,62965.80520241148,63006.458499018394,62894.92120280093,62935.57449940784
12,6474,65180.20711514571,65241.18706005609,65279.36163986834,65320.01493647526,65156.42721958639,65230.958263365734,65526.136569543734,65573.56541558514,65467.44457025269,65508.09786685961,65291.84704400354,65332.50034061045
