subject,direction,model,far_mass_obs,valley_obs,far_mass_pred,valley_pred,degenerate,n_far
1,A->B,switch,0.07179487179487179,0.5333333333333333,0.16229868578605933,0.8132530161166834,False,390
1,A->B,basic_bayes,0.07179487179487179,0.5333333333333333,0.06146865898749724,0.129247674805477,False,390
1,B->A,switch,0.09595959595959594,0.75,0.13004116437922067,0.769817026294116,False,396
1,B->A,basic_bayes,0.09595959595959594,0.75,0.05659681164770632,0.12247327843878197,False,396
10,A->B,switch,0.04651162790697674,0.2631578947368421,0.06760414752484759,0.08482449482529138,False,301
10,A->B,basic_bayes,0.04651162790697674,0.2631578947368421,0.06023100816012336,0.07748318189856476,False,301
10,B->A,switch,0.06666666666666667,0.2222222222222222,0.07555643387442457,0.1871133867747319,False,315
10,B->A,basic_bayes,0.06666666666666667,0.2222222222222222,0.055167848771746804,0.07557227708143278,False,315
11,A->B,switch,0.1107871720116618,0.6842105263157895,0.13781568897098964,0.6918849080111298,False,343
11,A->B,basic_bayes,0.1107871720116618,0.6842105263157895,0.043291386237844974,0.0868438801433618,False,343
11,B->A,switch,0.11246200607902734,0.5789473684210527,0.1214143946822076,0.6312185824727861,False,329
11,B->A,basic_bayes,0.11246200607902734,0.5789473684210527,0.03937535828054513,0.07787511175493181,False,329
12,A->B,switch,0.14501510574018128,0.5263157894736842,0.16419809676213837,0.6162448460077011,False,331
12,A->B,basic_bayes,0.14501510574018128,0.5263157894736842,0.06218015375590259,0.09485403100702663,False,331
12,B->A,switch,0.15249266862170086,0.6842105263157895,0.2190038043251088,0.6253441640848143,False,341
12,B->A,basic_bayes,0.15249266862170086,0.6842105263157895,0.06932981934107878,0.10326909223369168,False,341
2,A->B,switch,0.3818770226537217,0.6153846153846154,0.4466940134229353,0.5819128269507948,False,309
2,A->B,basic_bayes,0.3818770226537217,0.6153846153846154,0.10865898715143876,0.1548396633703633,False,309
2,B->A,switch,0.3426791277258567,0.7692307692307693,0.44046821640662026,0.6179959344871289,False,321
2,B->A,basic_bayes,0.3426791277258567,0.7692307692307693,0.10331407289224255,0.15304276495757754,False,321
3,A->B,switch,0.07434052757793765,0.4117647058823529,0.1954943560286081,0.869829238715049,False,417
3,A->B,basic_bayes,0.07434052757793765,0.4117647058823529,0.05490416035724963,0.11920530002232219,False,417
3,B->A,switch,0.09330143540669855,0.7142857142857143,0.15735157672526937,0.7951180779364188,False,418
3,B->A,basic_bayes,0.09330143540669855,0.7142857142857143,0.0522973026004628,0.10972086104103955,False,418
4,A->B,switch,0.140625,0.5454545454545454,0.22926885307675057,0.7383063859830421,False,192
4,A->B,basic_bayes,0.140625,0.5454545454545454,0.07641739328220763,0.14108731458974405,False,192
4,B->A,switch,0.15625000000000003,0.8,0.17290370629190185,0.6304483033418168,False,192
4,B->A,basic_bayes,0.15625000000000003,0.8,0.06591504184038897,0.15538444144009636,False,192
5,A->B,switch,0.021505376344086023,0.21428571428571427,0.03903609898193615,0.0830056760087823,True,279
5,A->B,basic_bayes,0.021505376344086023,0.21428571428571427,0.039019538486317125,0.08328803644189432,True,279
5,B->A,switch,0.014184397163120567,0.14285714285714285,,,True,282
5,B->A,basic_bayes,0.014184397163120567,0.14285714285714285,0.04268527679782829,0.07936610228862365,False,282
6,A->B,switch,0.03316326530612245,0.2631578947368421,0.05502557520010111,0.09109286629012035,False,392
6,A->B,basic_bayes,0.03316326530612245,0.2631578947368421,0.0577419729094242,0.09508336547426388,False,392
6,B->A,switch,0.04336734693877551,0.3157894736842105,0.04183034433527621,0.06692734039022903,False,392
6,B->A,basic_bayes,0.04336734693877551,0.3157894736842105,0.04916783161217658,0.10020341536329994,False,392
7,A->B,switch,0.05415162454873647,0.2,0.1212310389355813,0.6461916063677318,False,277
7,A->B,basic_bayes,0.05415162454873647,0.2,0.05859715639880221,0.12409738464441288,False,277
7,B->A,switch,0.06690140845070422,0.42857142857142855,0.10377646586723976,0.6041644929304641,False,284
7,B->A,basic_bayes,0.06690140845070422,0.42857142857142855,0.05033213966471528,0.1071979765476362,False,284
8,A->B,switch,0.10507246376811596,0.4,0.17464716628660398,0.4317699784367541,False,276
8,A->B,basic_bayes,0.10507246376811596,0.4,0.0791101299860918,0.09082885376650925,False,276
8,B->A,switch,0.14736842105263157,0.5714285714285714,0.16296662293810363,0.4423322397537364,False,285
8,B->A,basic_bayes,0.14736842105263157,0.5714285714285714,0.07854896861881139,0.09832658598291502,False,285
9,A->B,switch,0.08583690987124465,0.5263157894736842,0.19436813559131794,0.7698272319620547,False,466
9,A->B,basic_bayes,0.08583690987124465,0.5263157894736842,0.05478828027184409,0.10473438055894785,False,466
9,B->A,switch,0.07906976744186048,0.5789473684210527,0.13292235470483707,0.6215698192857415,False,430
9,B->A,basic_bayes,0.07906976744186048,0.5789473684210527,0.05855486497255912,0.10216737066763378,False,430
