subject,nll,aic,bic,converged,start_spread
1,38451.08931551108,76914.17863102217,76956.50916554239,True,338.47062247010035
2,36181.541856802985,72375.08371360597,72416.91392800419,True,26.228738477278966
3,41851.568520848756,83715.13704169751,83758.03548619659,True,357.00786298944877
4,23089.918898424567,46191.83779684913,46230.69727390032,True,24.189982075597072
5,31332.410900782117,62676.821801564234,62716.804090628706,True,324.90576520484683
6,37759.476906395015,75530.95381279003,75572.53201347591,True,86.31522847760789
7,27132.046676751168,54276.093353502336,54316.08392843037,True,142.2461122606328
8,30953.150329263954,61918.30065852791,61958.291233455944,True,56.1588959176006
9,42277.40181738851,84566.80363477702,84609.18302381865,True,83.46837591795338
10,31057.060959955204,62126.12191991041,62166.3638404887,True,24.483973460635752
11,31433.50951744101,62879.01903488202,62919.67233148894,True,92.70601406257265
12,32683.514356174113,65379.02871234823,65419.68200895515,True,99.39327636622329
