subject,alpha,best_nll,source_file,pull_increase_0.06,pull_increase_0.12,pull_increase_0.24,pull_increase_avg
1,0.069189091293788,38799.274530746094,subject_1.pkl,2.0752953922752404,-7.546943631866918,-3.502424014509359,-2.991357418033679
2,0.0303957187321655,36566.45761867864,subject_2__1_.pkl,-3.154405207102549,-2.586650896267347,-6.214414968288553,-3.9851570238861496
3,0.0671096659052503,42388.22467978714,subject_3.pkl,-6.480470468314213,-6.213495899605247,-2.1605567930976712,-4.951507720339044
4,0.0792420056728931,23210.10886123996,subject_4.pkl,-5.647957336312395,-10.655483530425125,-2.464306121355583,-6.2559156626977
5,0.2480739145087684,31276.563579959693,subject_5__1_.pkl,1.6698778356280444,-8.505765319723665,-9.65603976290938,-5.497309082335001
6,0.1916421163758614,37728.68233422066,subject_6__1_.pkl,5.352853913379904,-2.3276305694547887,3.037234918071703,2.0208194206656063
7,0.156762023205512,27280.508798474697,subject_7__1_.pkl,5.331718827400181,-3.3450462256121525,-5.536447433675471,-1.1832582772958145
8,0.0272435804539103,31021.855250870824,subject_8.pkl,-12.454381311483138,-10.181595960148705,-6.340395519243972,-9.65879093029194
9,0.0921235357763748,42250.93777362967,subject_9.pkl,-1.1616719999300056,1.308553955803494,-0.4784176880725943,-0.1105119107330353
10,0.1549447313524204,30971.81443169109,subject_10__1_.pkl,0.9436880853840446,0.16759871647886548,-0.9710752411417622,0.046737186907049276
11,0.0781978966859221,31491.425872698583,subject_11__1_.pkl,-0.013865530524515002,-2.319059527955407,-3.621436773016887,-1.9847872771656032
12,0.1144649718835323,32730.865432348528,subject_12.pkl,-5.224928595659131,-0.3661898439658273,-8.695578384046787,-4.762232274557248
