subject_id,parameter,generating_value,recovered_value,absolute_error,log_ratio_recovered_over_generating
1,carryover_weight,0.0272934236992581,0.1297559989050042,0.10246257520574609,1.5590099433452687
1,k_llh_coh_0.06,3.7225888112336416,13.39934445590873,9.676755644675088,1.2807864411199466
1,k_llh_coh_0.12,10.746463324015187,30.667649640880402,19.921186316865217,1.0486316339850534
1,k_llh_coh_0.24,19.65642616902944,49.4783713912785,29.82194522224906,0.923131316111961
1,k_motor,11.986870058161692,12.073880337720437,0.0870102795587453,0.007232580648025001
1,k_prior_std_10.0,40.25496066545633,20.73136146112447,19.52359920433186,-0.6635856424162192
1,k_prior_std_20.0,11.652533962022178,34.17198217168652,22.519448209664347,1.0758824096797202
1,k_prior_std_40.0,2.1508092913983106,4.44676850731955,2.29595921592124,0.7263334680953648
1,k_prior_std_80.0,1.4927502179613952,5.611568585985866,4.1188183680244705,1.3242100828474064
1,lapse_rate,0.123385422906294,0.13014424161195182,0.00675881870565781,0.05333041010397019
1,learning_tau,3.039263030496333,114.66274528782496,111.62348225732863,3.63038010787912
2,carryover_weight,0.0144834366219949,0.02050978678619664,0.0060263501642017405,0.3478964615697513
2,k_llh_coh_0.06,0.4872153969318228,0.1076762131031198,0.379539183828703,-1.5095776143431936
2,k_llh_coh_0.12,0.4065966752901507,0.13523898732025347,0.27135768796989723,-1.1007782295772182
2,k_llh_coh_0.24,28.07431324600752,4.891361005802774,23.182952240204745,-1.7473844496930164
2,k_motor,28.375734378094275,30.47759479365384,2.101860415559564,0.07145746010004529
2,k_prior_std_10.0,58.24423994820123,3.0210584582246502,55.22318148997658,-2.9590379493952494
2,k_prior_std_20.0,26.70209898992901,15.33751128121594,11.364587708713069,-0.5544406305752054
2,k_prior_std_40.0,2.078798537621184,0.47685707247623105,1.6019414651449528,-1.472328570472262
2,k_prior_std_80.0,6.515462922617158,1.1107069308443296,5.404755991772829,-1.7691815749568445
2,lapse_rate,0.1355902867716794,0.125289611208262,0.010300675563417405,-0.07900979373898481
2,learning_tau,6.50229978073982,39.55767818089937,33.055378400159555,1.805603887077974
3,carryover_weight,0.0774739637380323,0.7474701851354703,0.669996221397438,2.2667524786457203
3,k_llh_coh_0.06,0.4829005160703099,0.3707371344721684,0.11216338159814154,-0.2643173818825472
3,k_llh_coh_0.12,9.946007871474501,6.651185510861157,3.2948223606133444,-0.40237614057446036
3,k_llh_coh_0.24,91.38213768002656,17.98914789956923,73.39298978045733,-1.6252813475060046
3,k_motor,14.002142179865828,15.110826839318463,1.108684659452635,0.07620116535617152
3,k_prior_std_10.0,11.189010011551849,2.787829006263073,8.401181005288777,-1.3896688883491857
3,k_prior_std_20.0,2.111839361894333,0.7292267623313107,1.3826125995630223,-1.0633298382474639
3,k_prior_std_40.0,1.1268418606988235,1.5548894729485894,0.42804761224976584,0.3219855579710581
3,k_prior_std_80.0,1.5474344497670147,1.8249485778682872,0.2775141281012725,0.1649534441427651
3,lapse_rate,0.1310592918505501,0.16893437305592077,0.03787508120537067,0.2538604823312502
3,learning_tau,12.961306119917683,38.552032174438295,25.590726054520612,1.0900403471550255
