subject_id,readout,n_trials_fit,nll,nll_per_trial,optimizer_success,optimizer_status,optimizer_message,carryover_weight,learning_tau,k_motor,lapse_rate,k_llh_by_coherence,k_prior_target_by_std
1,MAP,720,3362.004409894854,4.669450569298408,True,0,Optimization terminated successfully.,0.02729342369925816,3.039263030496333,11.986870058161692,0.123385422906294,"{""0.06"":3.7225888112336416,""0.12"":10.746463324015187,""0.24"":19.65642616902944}","{""10.0"":40.25496066545633,""20.0"":11.652533962022178,""40.0"":2.1508092913983106,""80.0"":1.4927502179613952}"
2,MAP,720,3143.499884786365,4.3659720622032845,True,0,Optimization terminated successfully.,0.01448343662199496,6.50229978073982,28.375734378094275,0.1355902867716794,"{""0.06"":0.4872153969318228,""0.12"":0.4065966752901507,""0.24"":28.07431324600752}","{""10.0"":58.24423994820123,""20.0"":26.70209898992901,""40.0"":2.078798537621184,""80.0"":6.515462922617158}"
3,MAP,720,3327.8488997074473,4.622012360704788,True,0,Optimization terminated successfully.,0.0774739637380323,12.961306119917683,14.002142179865828,0.13105929185055015,"{""0.06"":0.4829005160703099,""0.12"":9.946007871474501,""0.24"":91.38213768002656}","{""10.0"":11.189010011551849,""20.0"":2.111839361894333,""40.0"":1.1268418606988235,""80.0"":1.5474344497670147}"
4,MAP,720,3548.003647992462,4.927782844433975,True,0,Optimization terminated successfully.,0.7399851088712549,3.2729061634012364,9.181374330022015,0.17883817303736965,"{""0.06"":0.15138257838390312,""0.12"":36.35566791116527,""0.24"":94.3261776085356}","{""10.0"":0.13791496463676814,""20.0"":55.21202555743274,""40.0"":0.03602910716602445,""80.0"":0.6965374327466389}"
5,MAP,720,3872.231062244,5.378098697561111,True,0,Optimization terminated successfully.,0.05795490626367595,39.56398482626355,3.2111713818567287,0.21865388760826435,"{""0.06"":17.4347028203165,""0.12"":42.65626292084274,""0.24"":20.12800589685534}","{""10.0"":0.5458776576240003,""20.0"":0.1835205437861674,""40.0"":0.22375798359499893,""80.0"":0.06431032002844754}"
6,MAP,720,3792.527073005829,5.267398712508096,True,0,Optimization terminated successfully.,0.05176131887306412,3.2056676569538616,3.8793855785808087,0.17373659410811537,"{""0.06"":7.133200365028254,""0.12"":21.632345975397154,""0.24"":90.77007943173939}","{""10.0"":46.48455472322876,""20.0"":20.63255579231875,""40.0"":2.7821141669393272,""80.0"":0.033576495946899244}"
7,MAP,720,3458.5225184907436,4.803503497903811,True,0,Optimization terminated successfully.,0.23303102643743898,39.531383170058085,7.934748459773475,0.10779701217695938,"{""0.06"":2.5011804576556367,""0.12"":11.965449995916122,""0.24"":21.22679584328089}","{""10.0"":0.5739667679185746,""20.0"":9.331634163167063,""40.0"":15.159912166791214,""80.0"":0.151940117055678}"
8,MAP,720,3843.106820433055,5.337648361712576,True,0,Optimization terminated successfully.,0.8327863907224262,12.580173874321547,4.785586331997563,0.2371287677447029,"{""0.06"":0.07111270265012475,""0.12"":3.956822587771259,""0.24"":79.48531491113128}","{""10.0"":134.26058795661717,""20.0"":5.303972390803843,""40.0"":5.593555420905568,""80.0"":0.760457268013511}"
9,MAP,720,3637.744143151306,5.052422421043481,True,0,Optimization terminated successfully.,0.26655677458049615,3.5437774752518214,6.622954447727039,0.1803832346845578,"{""0.06"":6.432684747533748,""0.12"":6.881340922627334,""0.24"":18.771217306935444}","{""10.0"":2.947010539766529,""20.0"":12.436664825306112,""40.0"":2.059681077328482,""80.0"":0.10781797296393025}"
10,MAP,720,3923.2101478283857,5.44890298309498,True,0,Optimization terminated successfully.,0.3151313313046359,79.25328708870354,3.39797236096362,0.2360537649172658,"{""0.06"":6.630161637558775,""0.12"":13.29494291410547,""0.24"":98.43153784734437}","{""10.0"":0.6750985260189836,""20.0"":10.366417555331575,""40.0"":23.706060423888,""80.0"":0.15346403134302164}"
11,MAP,720,3627.4073085006,5.038065706250833,True,0,Optimization terminated successfully.,0.40682979362813854,24.74194095434502,4.495237199966641,0.11081679650551715,"{""0.06"":13.266422547494619,""0.12"":129.55705600321366,""0.24"":138.824743796984}","{""10.0"":20.316048296807416,""20.0"":69.93329375317336,""40.0"":0.10050194523729791,""80.0"":0.06394908255129024}"
12,MAP,720,3765.4454429068865,5.229785337370676,True,0,Optimization terminated successfully.,0.2567837861530572,16.0146998616089,7.008031871143278,0.23588701272593166,"{""0.06"":2.2102483665559784,""0.12"":6.786305703726276,""0.24"":26.028902895299243}","{""10.0"":61.34105822864927,""20.0"":6.475787749779263,""40.0"":2.102399328838654,""80.0"":0.2277718736530335}"
